mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
0,0,312,1,3479,312,13204,MCO,11298,DFW,-6.0,181,179.0,147.0,1,985,2019,12,4,2,19,21,FL,TX,5.328595793064243,5.396409761887101,0,MCO-DFW,0,0,0,1,0,1,0,0,0,1,0,0
2,2,534,4,408,534,10721,BOS,11278,DCA,14.0,98,118.0,100.0,1,399,2018,7,21,5,12,13,MA,DC,6.360829389226956,6.360829389226956,1,BOS-DCA,0,0,1,0,1,0,0,0,1,0,0,0
3,3,3874,25,3178,3874,11298,DFW,12953,LGA,35.0,224,209.0,185.0,1,1389,2018,6,5,1,14,19,TX,NY,2.1440377343780463,2.0115089514066495,1,DFW-LGA,0,1,0,0,1,0,0,0,0,1,0,0
8,8,493,21,2210,493,12889,LAS,13930,ORD,-19.0,217,208.0,181.0,1,1514,2019,4,15,0,14,20,NV,IL,10.231880437950128,5.682458929517753,0,LAS-ORD,0,1,0,0,1,0,0,0,0,1,0,0
0,0,1575,1,2374,1575,14100,PHL,15304,TPA,70.0,166,160.0,146.0,1,920,2019,12,1,6,18,20,PA,FL,5.328595793064243,5.396409761887101,1,PHL-TPA,0,0,0,1,0,1,0,0,0,1,0,0
1,1,298,2,754,298,14747,SEA,12892,LAX,9.0,162,171.0,140.0,1,954,2018,3,31,5,5,8,WA,CA,1.3057672946929382,1.3225882352941176,1,SEA-LAX,1,0,0,0,0,0,0,1,0,0,1,0
1,1,724,2,806,724,14679,SAN,14747,SEA,13.0,175,200.0,155.0,1,1050,2018,11,9,4,19,22,CA,WA,1.3057672946929382,1.3225882352941176,1,SAN-SEA,0,0,0,1,0,1,0,0,0,1,0,0
3,3,3363,0,1862,3363,11423,DSM,13487,MSP,-9.0,73,68.0,46.0,1,232,2019,5,3,4,13,14,IA,MN,2.1440377343780463,-0.47032206547777505,0,DSM-MSP,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1206,1,3300,1206,13303,MIA,12266,IAH,-14.0,166,156.0,136.0,1,964,2019,11,1,4,9,11,FL,TX,5.328595793064243,5.396409761887101,0,MIA-IAH,0,0,0,1,0,0,1,0,0,0,1,0
3,3,618,7,3464,618,11433,DTW,10529,BDL,-17.0,102,93.0,67.0,1,549,2019,3,10,6,15,17,MI,CT,2.1440377343780463,-0.3018240950226244,0,DTW-BDL,1,0,0,0,1,0,0,0,0,1,0,0
