month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
3,20398.0,MQ,MQ,Envoy Air,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2016
4,20207.0,XP,XP,XTRA Airways,1,0.0,0.0,0.0,0.0,0.0,0.0,36870.0,234634.0,271504.0,0,0.0,0.0,0.0,0.0,0,85170,542005.0,627175,2015
1,19874.0,8C,8C,Air Transport International,2,0.0,0.0,0.0,0.0,0.0,0.0,23622.0,742229.0,765851.0,0,0.0,0.0,0.0,0.0,0,43613,1910733.0,1954346,2019
1,20452.0,YX,YX,Republic Airlines,2,13863113.0,0.0,0.0,0.0,0.0,13863113.0,13863113.0,0.0,13863113.0,24606382,0.0,0.0,0.0,0.0,24606382,24606382,0.0,24606382,2015
1,19790.0,DL,DL,Delta Air Lines Inc.,3,155927269.0,46437915.0,29704100.0,30677967.0,106819982.0,262747251.0,157691468.0,106874624.0,264566092.0,321399594,95718517.0,61226531.0,63233879.0,220178927.0,541578521,326289455,220291555.0,546581010,2018
11,20397.0,OH,OH,PSA Airlines Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2018
12,20405.0,N8,N8,National Air Cargo Group Inc d/ba National Airlines,1,0.0,0.0,0.0,0.0,0.0,0.0,48783.0,1122726.0,1171509.0,0,0.0,0.0,0.0,0.0,0,106844,2071127.0,2177971,2016
9,20397.0,OH,OH,PSA Airlines Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2015
2,20372.0,KLQ,KLQ,Kalitta Charters II,1,0.0,0.0,0.0,0.0,0.0,0.0,138216.0,66973.0,205189.0,0,0.0,0.0,0.0,0.0,0,358574,181434.0,540008,2018
4,19790.0,DL,DL,Delta Air Lines Inc.,3,149301057.0,62882427.0,38277762.0,27144323.0,128304512.0,277605569.0,150703885.0,128895534.0,279599419.0,228947019,96427610.0,58697370.0,41624701.0,196749681.0,425696700,231884029,197655991.0,429540020,2016
