"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-04-13","UA","UA","UA",395,"UA","N24715",395,14679,"SAN","San Diego, CA",11618,"EWR","Newark, NJ",2100,2052,-8,17,2109,447,11,504,458,-6,0,NULL,0,"N",304,306,278,1,2425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-30","AA","AA","AA",1993,"AA","N152UW",1993,14100,"PHL","Philadelphia, PA",13204,"MCO","Orlando, FL",800,755,-5,16,811,1003,14,1029,1017,-12,0,NULL,0,"N",149,142,112,1,861,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-18","AA","AA","AA",1669,"AA","N576UW",1669,11618,"EWR","Newark, NJ",11057,"CLT","Charlotte, NC",500,455,-5,34,529,655,4,656,659,3,0,NULL,0,"N",116,124,86,1,529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-16","UA","UA_CODESHARE","UA",3657,"YX","N633RW",3657,11057,"CLT","Charlotte, NC",12266,"IAH","Houston, TX",1800,1755,-5,17,1812,1929,10,1943,1939,-4,0,NULL,0,"N",163,164,137,1,912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-09","DL","DL","DL",2689,"DL","N327DN",2689,11433,"DTW","Detroit, MI",14107,"PHX","Phoenix, AZ",830,829,-1,12,841,1058,5,1106,1103,-3,0,NULL,0,"N",276,274,257,1,1671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-28","DL","DL","DL",2106,"DL","N985DL",2106,13198,"MCI","Kansas City, MO",10397,"ATL","Atlanta, GA",1020,1055,35,24,1119,1356,5,1321,1401,40,0,NULL,0,"N",121,126,97,1,692,10,0,5,0,25,NULL,NULL,NULL,NULL
"2018-09-09","WN","WN","WN",5202,"WN","N8579Z",5202,14730,"SDF","Louisville, KY",12889,"LAS","Las Vegas, NV",1910,1900,-10,14,1914,1942,4,2010,1946,-24,0,NULL,0,"N",240,226,208,1,1624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-05","AA","AA_CODESHARE","AA",4963,"PT","N604AE",4963,14100,"PHL","Philadelphia, PA",12391,"ISP","Islip, NY",1620,1608,-12,18,1626,1657,5,1741,1702,-39,0,NULL,0,"N",81,54,31,1,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-21","B6","B6","B6",238,"B6","N523JB",238,13204,"MCO","Orlando, FL",10529,"BDL","Hartford, CT",2050,2045,-5,16,2101,2329,8,2334,2337,3,0,NULL,0,"N",164,172,148,1,1050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-05","DL","DL","DL",1898,"DL","N986DL",1898,10397,"ATL","Atlanta, GA",13244,"MEM","Memphis, TN",1649,1645,-4,16,1701,1659,4,1713,1703,-10,0,NULL,0,"N",84,78,58,1,332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-17","UA","UA_CODESHARE","UA",5642,"OO","N152SY",5642,13851,"OKC","Oklahoma City, OK",12266,"IAH","Houston, TX",1405,1402,-3,12,1414,1521,6,1540,1527,-13,0,NULL,0,"N",95,85,67,1,395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-09-19","DL","DL_CODESHARE","DL",3317,"9E","N301PQ",3317,11193,"CVG","Cincinnati, OH",12478,"JFK","New York, NY",1500,1453,-7,26,1519,1709,10,1712,1719,7,0,NULL,0,"N",132,146,110,1,589,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-12-15","AS","AS","AS",1372,"AS","N524VA",1372,14747,"SEA","Seattle, WA",11292,"DEN","Denver, CO",2000,2007,7,14,2021,2325,9,2334,2334,0,0,NULL,0,"N",154,147,124,1,1024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-23","WN","WN","WN",787,"WN","N8657B",787,11697,"FLL","Fort Lauderdale, FL",11278,"DCA","Washington, DC",1240,1240,0,10,1250,1441,6,1510,1447,-23,0,"",0,"N",150,127,111,1,899,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
